Player,FG_pc,3P_pc,FT_pc,OREB,DREB,AST,STL,BLK,TOV,ID,Pos,2P_pc
Danny Green,41.6,36.7,68.8,0.8,2.6,1.3,1.3,0.5,0.9,greenda02,SG,0.4999999999999999
Tony Snell,44.5,40.2,100.0,0.2,1.7,2.2,0.5,0.3,0.5,snellto01,SG,0.5454545454545454
Trevor Ariza,43.8,37.2,83.8,0.6,4.0,1.7,1.3,0.3,1.1,arizatr01,SF,0.5454545454545456
Alex Len,55.5,27.1,64.8,1.8,4.0,0.9,0.4,0.9,1.0,lenal01,C,0.6170212765957448
Patrick Beverley,43.1,38.8,66.0,1.1,4.1,3.6,1.1,0.5,1.3,beverpa01,SG,0.4814814814814814
De'Anthony Melton,40.1,28.6,76.9,0.7,3.0,2.9,1.3,0.3,1.4,meltode01,PG,0.4545454545454545
Omari Spellman,43.1,39.1,79.3,1.6,2.9,1.0,0.7,0.5,1.1,spellom01,PF,0.4473684210526316
Terence Davis,45.6,38.8,86.4,0.7,2.6,1.6,0.5,0.2,1.1,daviste02,SG,0.5555555555555556
Dwight Howard,72.9,60.0,51.4,2.5,4.9,0.7,0.4,1.1,1.2,howardw01,C,0.7435897435897436
Tyus Jones,45.9,37.9,74.1,0.1,1.4,4.4,0.9,0.1,0.8,jonesty01,PG,0.4893617021276596
Bismack Biyombo,54.3,0.0,60.3,2.3,3.5,0.9,0.2,0.9,0.9,biyombi01,C,0.5384615384615384
Jaxson Hayes,67.2,25.0,64.7,1.5,2.5,0.9,0.4,0.9,0.8,hayesja02,C,0.6923076923076924
Wesley Matthews,39.6,36.4,76.5,0.3,2.1,1.4,0.6,0.1,0.6,matthwe02,SG,0.4736842105263159
Gorgui Dieng,45.6,35.5,77.2,1.4,4.2,1.2,0.8,0.9,1.0,dienggo01,PF,0.5000000000000001
Nerlens Noel,68.4,33.3,75.5,1.5,3.4,0.9,1.0,1.5,1.1,noelne01,C,0.6818181818181818
Emmanuel Mudiay,46.2,34.5,75.9,0.3,2.0,2.1,0.4,0.2,1.4,mudiaem01,PG,0.4888888888888888
Kris Dunn,44.4,25.9,74.1,0.5,3.2,3.4,2.0,0.3,1.3,dunnkr01,PG,0.5333333333333333
Willie Cauley-Stein,57.9,0.0,60.6,1.6,4.3,1.3,0.9,1.1,0.7,caulewi01,C,0.5714285714285715
Mason Plumlee,61.5,0.0,53.5,1.6,3.6,2.5,0.5,0.6,1.3,plumlma01,C,0.6304347826086956
Rondae Hollis-Jefferson,47.1,13.0,73.4,1.8,2.9,1.8,0.8,0.4,1.0,holliro01,SF,0.4901960784313726
P.J. Tucker,41.5,35.8,81.3,1.6,5.1,1.6,1.1,0.5,1.0,tuckepj01,SG,0.588235294117647
Delon Wright,46.2,37.0,77.0,1.0,2.9,3.3,1.2,0.3,1.0,wrighde01,PG,0.5128205128205129
